,1,2,3,4,5,6,7,8
08/04/2012 13:40,0,0,0,0,0,0,0,0
08/04/2012 13:45,0,0,0,0,0,0,0,0
08/04/2012 13:50,0,0,0,0,0,0,0,0
08/04/2012 13:55,0,0,0,0,0,0,0,0
08/04/2012 14:00,0,0,0,0,0,0,0,0
08/04/2012 14:05,0,0,0,0,0,0,0,0
08/04/2012 14:10,0,0,0,0,0,0,0,0
08/04/2012 14:15,0,0,0,0,0,1.206,0,0
08/04/2012 14:20,0,0,0,0,0,0,0,0
08/04/2012 14:25,0,0,0,0,0,0,0,0
08/04/2012 14:30,0,0,0,0,0,0,0,0
08/04/2012 14:35,0,0,0,0,0,0,0,0
08/04/2012 14:40,0,0,0,0,0,0,0,0
08/04/2012 14:45,0,0,0,0,0,0,0,0
08/04/2012 14:50,0,0,0,0,0,0,0,0
08/04/2012 14:55,0,0,0,0,0,0,0,0
08/04/2012 15:00,0,0,0,0,0,0,0,0
08/04/2012 15:05,0,0,0,0,0,0,0,0
08/04/2012 15:10,1.188,0,0,0,0,0,0,0
08/04/2012 15:15,0,0,0,0,0,0,0,0
08/04/2012 15:20,0,0,0,0,0,0,0,0
08/04/2012 15:25,0,0,0,0,0,0,0,0
08/04/2012 15:30,0,0,0,0,0,0,0,0
08/04/2012 15:35,0,0,0,0,0,0,0,0
08/04/2012 15:40,0,0,0,0,0,0,0,0
08/04/2012 15:45,0,0,0,0,0,0,0,0
08/04/2012 15:50,0,0,0,0,0,0,0,0
08/04/2012 15:55,0,0,0,0,0,0,0,0
08/04/2012 16:00,0,0,0,0,0,0,0,0
08/04/2012 16:05,0,0,0,0,0,0,0,0
08/04/2012 16:10,0,0,0,0,0,0,0,0
08/04/2012 16:15,0,0,0,0,0,0,0,0
08/04/2012 16:20,0,0,0,0,0,0,0,0
08/04/2012 16:25,0,0,0,0,0,0,0,0
08/04/2012 16:30,0,0,0,0,0,0,0,0
08/04/2012 16:35,0,0,0,0,0,0,0,0
08/04/2012 16:40,0,0,0,0,0,0,0,0
08/04/2012 16:45,0,0,0,0,0,0,0,0
08/04/2012 16:50,0,0,0,0,0,0,0,0
08/04/2012 16:55,0,0,0,0,0,0,0,0
08/04/2012 17:00,0,0,0,0,0,0,0,0
08/04/2012 17:05,0,0,0,0,0,0,0,0
08/04/2012 17:10,0,0,0,0,0,0,0,0
08/04/2012 17:15,0,0,0,0,0,0,0,0
08/04/2012 17:20,0,0,0,0,0,0,0,0
08/04/2012 17:25,0,0,0,0,0,0,0,0
08/04/2012 17:30,0,0,0,0,0,0,0,0
08/04/2012 17:35,0,0,0,0,0,0,0,0
08/04/2012 17:40,0,0,0,0,0,0,0,0
08/04/2012 17:45,0,0,0,0,0,0,0,0
08/04/2012 17:50,0,0,0,0,0,0,0,0
08/04/2012 17:55,0,0,0,0,0,0,0,0
08/04/2012 18:00,0,0,0,0,0,0,0,0
08/04/2012 18:05,0,0,0,0,0,0,0,0
08/04/2012 18:10,0,0,0,0,0,0,0,0
08/04/2012 18:15,0,0,0,0,0,0,0,0
